Host,Time,Prevalence,Intensity,Intensity_error
A. anatina,65,23.3,2.79,0.834086152
A. anatina,93,33.3,3.15,0.596971524
A. anatina,127,16.7,5.4,3.453114536
A. anatina,155,11.7,1.29,0.170746944
A. anatina,176,11.7,1.72,0.438656842
A. anatina,224,13.3,1.38,0.246062746
A. anatina,248,13.3,1.5,0.25
A. anatina,275,21.7,2.23,0.476101602
A. anatina,311,30,1.89,0.247067853
A. anatina,336,13.3,2.13,0.412215811
A. anatina,385,23.3,2.14,0.472262713
A. anatina,420,31.7,4.05,1.048607266
V. viviparus,65,20,4.83,1.754623522
V. viviparus,93,15.9,11,4.389226142
V. viviparus,127,0,0,0
V. viviparus,155,10,7.3,2.596293655
V. viviparus,176,6.7,6,2.828427125
V. viviparus,224,10,9,4.988876516
V. viviparus,248,3.3,13,0
V. viviparus,275,23.3,8.14,5.273842155
V. viviparus,311,13.3,19.75,10.85342688
V. viviparus,336,13.3,8.5,2.015564437
V. viviparus,385,3.3,7,0
V. viviparus,420,6.7,18.5,10.25304833
